nome,cpf,cargo,salario_base,ano_mes,salario_pago
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-01-01,2324.51
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-02-01,2338.36
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-03-01,2339.24
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-04-01,2288.64
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-05-01,2372.51
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-06-01,2293.73
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-07-01,2311.8
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-08-01,2343.5
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-09-01,2334.63
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-10-01,2297.86
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-11-01,2342.32
Zuleica Zanetti,31288900557,Gerente,2177.14,2020-12-01,2324.24
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-01-01,2297.06
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-02-01,2387.67
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-03-01,2345.0
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-04-01,2335.11
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-05-01,2366.03
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-06-01,2392.45
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-07-01,2311.61
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-08-01,2288.58
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-09-01,2381.8
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-10-01,2314.66
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-11-01,2388.0
Zuleica Zanetti,31288900557,Gerente,2177.14,2021-12-01,2305.68
Zuleica Zanetti,31288900557,Gerente,2177.14,2022-01-01,2348.93
Zuleica Zanetti,31288900557,Gerente,2177.14,2022-02-01,2352.6
Zuleica Zanetti,31288900557,Gerente,2177.14,2022-03-01,2346.99
